Country Name,RATE,REFG,MIL.XPAND,GDP,URBAN,STA,TECH,NET.USER,ADO,PM2.5,AGEDEP
Aruba,97.52420044,,,,41.528,97.7,4.694767742,88.66122693,21.402,,43.95238953
Afghanistan,38.16804123,2666254,1.012555799,594.3230812,26.703,27,,8.26,71.2034,46.1,86.95446405
Angola,71.16416168,11869,3.515938573,4101.472152,44.05,22.5,,12.4,161.9322,29.1,99.85575099
Albania,97.55390167,10421,1.161134785,3945.217582,57.407,90.2,1.487346477,63.2529327,21.8354,17.1,44.80697279
Andorra,,5,,,85.115,100,,96.91,,9.7,
Arab World,,6492742,8.189581495,6545.217753,57.82168497,86.27835257,,39.52615407,47.55019405,58.10170959,61.75419398
United Arab Emirates,92.98636627,99,,40438.76293,85.541,95.2,,91.24340578,30.0682,62.2,17.75143866
Argentina,98.08997345,194,0.862948056,13431.87834,91.751,98.3,9.008199853,69.40092102,63.7888,13,56.5453597
Armenia,99.76841736,11218,4.248951082,3489.12769,62.673,78.2,5.274277394,58.24933222,22.4606,21.2,41.26264721
American Samoa,,,,,87.202,62.5,,,,3.7,
Antigua and Barbuda,,56,,13714.73196,23.773,,0,65.2,43.8648,12.8,45.65038071
Australia,,20,1.950652154,56310.96299,89.423,100,13.51306446,84.56051935,13.844,5.8,50.92736435
Austria,,4,0.672999897,43774.98517,65.968,100,13.35296768,83.9263,6.786,16.7,49.17973629
Azerbaijan,99.8052597,9712,5.611558707,5496.34464,54.62,86.6,2.533869681,77,60.9936,25.6,38.01600762
Burundi,85.49609375,292764,2.136161197,277.0683092,12.057,48.6,3.49174225,4.866224464,27.8548,37.1,89.65469504
Belgium,,65,0.915801797,40324.02777,97.858,99.4,13.02287353,85.0529,8.0566,15.3,54.24780332
Benin,38.44713974,412,1.09632502,762.0512054,43.95,7.3,0.940595798,6.787702956,81.775,29.1,81.98219189
Burkina Faso,37.74670029,2148,,589.7744141,29.859,6.7,4.982162836,11.38764617,107.1514,33.6,92.17971533
Bangladesh,61.49383163,12173,0.001372527,1211.701531,34.277,62.1,,14.4,82.55,87,52.48674876
Bulgaria,98.38858032,1269,1.316453182,6993.47736,73.948,83.7,7.648513048,56.6563,36.8366,27.5,51.9098808
Bahrain,95.71726227,421,4.592713862,22600.2141,88.775,99.2,0.959230358,93.47830114,13.4214,54.4,31.38151989
"Bahamas, The",,215,,22817.23086,82.874,92,0,78,28.699,12.6,41.24625516
Bosnia and Herzegovina,98.48576355,18769,1.00235046,4249.330313,39.767,92,2.818924468,65.0655028,8.1686,45.3,40.73018063
Belarus,99.72203827,4124,1.325167008,5740.456495,76.667,95.2,4.314920044,62.23036091,17.551,17.9,42.95748424
Belize,82.77681732,51,1.120004585,4878.721267,43.973,88.2,0,41.59,65.135,23.2,56.78092204
Bermuda,,0,,,100,,26.8315905,98.32360965,,8.5,
Bolivia,95.141922,570,1.62216092,3076.791811,68.512,27.5,6.459543487,45.1,70.431,27.1,63.69471812
Brazil,92.58680725,895,1.386668297,8538.589975,85.687,51.5,12.30504082,59.07947791,66.7434,11.1,44.65985467
Barbados,,99,,15429.34046,31.475,96.2,18.34739621,76.11,39.4398,14.1,50.4435787
Brunei Darussalam,96.65653229,0,3.279291821,30554.72967,77.202,,17.93470383,71.2,20.7876,5,37.9837884
Bhutan,63.90681839,17720,,2655.998892,38.644,33.1,,39.8,20.179,54.1,46.9033562
Botswana,88.22441101,308,2.796562701,6360.13822,57.444,43.1,0.632127018,27.5,30.9728,15.4,55.27026814
